Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D100, D101, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D94, D95, D96, D97, D98",X1-DFN1006-2,99,D5V0X1B2LP-7B,C500802
"D93, D99",X1-DFN1006-2,2,D12V0L1B2LP-7B,C443636
"J1, J2",PinSocket_2x30_P2.54mm_Vertical,2,Conn_02x30_Odd_Even,
"J3, J4",PinSocket_2x22_P2.54mm_Vertical,2,Conn_02x22_Odd_Even,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R7, R8, R9",0402,59,33,C25105
"TP14, TP15, TP19, TP20",0906415207514110,4,5015,
"TP2, TP3, TP45, TP73, TP74",0906415207514110,5,5019,
