0,0
0.125,0.163622
0.25,0.355921
0.375,0.566265
0.5,0.778302
0.625,0.976424
0.75,1.15118
0.875,1.30142
1,1.43251
1.125,1.55205
1.25,1.66518
1.375,1.77192
1.5,1.86743
1.625,1.9449
1.75,1.99918
1.875,2.02928
2,2.03858
2.125,2.03285
2.25,2.0172
2.375,1.99387
2.5,1.96175
2.625,1.91791
2.75,1.86011
2.875,1.78882
3,1.70777
3.125,1.62262
3.25,1.53871
3.375,1.45912
3.5,1.38406
3.625,1.31185
3.75,1.24094
3.875,1.17176
4,1.10728
4.125,1.05208
4.25,1.01047
4.375,0.984632
4.5,0.973917
4.625,0.975677
4.75,0.987069
4.875,1.00684
5,1.03607
5.125,1.07742
5.25,1.13338
5.375,1.20441
5.5,1.28819
5.625,1.37084
5.75,1.46249
5.875,1.5625
6,1.66828
6.125,1.77148
6.25,1.8746
6.375,1.97578
6.5,2.07304
6.625,2.16854
6.75,2.25365
6.875,2.32548
7,2.38341
7.125,2.44242
7.25,2.48211
7.375,2.49897
7.5,2.49415
7.625,2.49455
7.75,2.4703
7.875,2.41792
8,2.34028
8.125,2.27218
8.25,2.17913
8.375,2.05831
8.5,1.91385
8.625,1.78223
8.75,1.63059
8.875,1.45728
9,1.26688
9.125,1.09063
9.25,0.903483
9.375,0.705176
9.5,0.499805
9.625,0.307432
9.75,0.11537
9.875,-0.0752821
10,-0.261781
10.125,-0.438841
10.25,-0.604841
10.375,-0.757676
10.5,-0.89651
10.625,-1.03122
10.75,-1.14703
10.875,-1.24138
11,-1.31548
11.125,-1.39145
11.25,-1.44533
11.375,-1.47473
11.5,-1.48254
11.625,-1.49768
11.75,-1.49277
11.875,-1.46612
12,-1.42161
12.125,-1.38828
12.25,-1.34147
12.375,-1.28054
12.5,-1.20944
12.625,-1.15102
12.75,-1.08848
12.875,-1.02221
13,-0.955365
13.125,-0.900235
13.25,-0.850626
13.375,-0.807749
13.5,-0.773266
13.625,-0.747522
13.75,-0.73474
13.875,-0.736439
14,-0.752544
14.125,-0.773327
14.25,-0.810351
14.375,-0.864852
14.5,-0.93521
14.625,-1.00627
14.75,-1.09177
14.875,-1.19213
15,-1.30477
15.125,-1.41534
15.25,-1.53385
15.375,-1.6595
15.5,-1.78964
15.625,-1.91693
15.75,-2.04247
15.875,-2.16419
16,-2.28023
16.125,-2.39492
16.25,-2.49732
16.375,-2.58433
16.5,-2.65559
16.625,-2.72894
16.75,-2.78122
16.875,-2.80875
17,-2.81303
17.125,-2.82396
17.25,-2.80895
17.375,-2.76438
17.5,-2.6935
17.625,-2.63381
17.75,-2.54847
17.875,-2.43456
18,-2.29652
18.125,-2.17302
18.25,-2.02934
18.375,-1.86371
18.5,-1.68096
18.625,-1.51398
18.75,-1.33622
18.875,-1.14733
19,-0.951494
19.125,-0.770119
19.25,-0.589154
19.375,-0.409515
19.5,-0.233988
19.625,-0.0692241
19.75,0.0847734
19.875,0.226172
20,0.354114
20.125,0.476649
20.25,0.581252
20.375,0.665739
20.5,0.731246
20.625,0.797256
20.75,0.842939
20.875,0.866369
21,0.870283
21.125,0.879945
21.25,0.872055
21.375,0.84545
21.5,0.803723
21.625,0.771274
21.75,0.728347
