164.5,-0.67826
165,-0.387973
165.5,-0.310859
166,-0.414416
166.5,-0.61614
167,-0.805007
167.5,-0.870043
168,-0.728949
168.5,-0.349735
169,0.239946
169.5,0.958109
170,1.68711
170.5,2.30113
171,2.69582
171.5,2.8128
172,2.65309
172.5,2.27621
173,1.78513
173.5,1.30084
174,0.932697
174.5,0.751853
175,0.774276
175.5,0.957464
176,1.21169
176.5,1.42297
177,1.48213
177.5,1.31286
178,0.891725
178.5,0.255412
179,-0.506785
179.5,-1.27333
180,-1.91873
180.5,-2.34288
181,-2.49427
181.5,-2.38139
182,-2.06969
182.5,-1.66462
183,-1.28526
183.5,-1.03463
184,-0.974277
184.5,-1.10922
185,-1.3869
185.5,-1.71051
186,-1.96335
186.5,-2.03822
187,-1.8647
187.5,-1.42756
188,-0.771765
188.5,0.00710524
189,0.784828
189.5,1.43745
190,1.87013
190.5,2.03892
191,1.96013
191.5,1.70503
192,1.38123
192.5,1.10534
193,0.973572
193.5,1.03752
194,1.29113
194.5,1.67194
195,2.07639
195.5,2.3854
196,2.494
196.5,2.33766
197,1.90896
197.5,1.26042
198,0.492825
198.5,-0.26814
199,-0.901278
199.5,-1.31808
200,-1.48292
200.5,-1.42025
201,-1.2072
201.5,-0.953273
202,-0.772269
202.5,-0.753251
203,-0.937738
203.5,-1.30871
204,-1.79415
204.5,-2.28425
205,-2.65807
205.5,-2.81323
206,-2.69114
206.5,-2.29188
207,-1.6748
207.5,-0.94488
208,-0.228041
208.5,0.358476
209,0.733524
209.5,0.870507
210,0.80243
210.5,0.612322
211,0.411419
211.5,0.310474
212,0.39126
212.5,0.685269
213,1.16485
213.5,1.74897
214,2.32227
214.5,2.76265
215,2.97078
215.5,2.8942
216,2.54024
216.5,1.97444
217,1.30501
217.5,0.656993
218,0.142535
218.5,-0.165528
219,-0.250313
219.5,-0.153707
220,0.0352964
220.5,0.203849
221,0.244376
221.5,0.0824028
222,-0.303763
222.5,-0.876342
223,-1.54606
223.5,-2.19285
224,-2.69428
224.5,-2.95473
225,-2.92814
225.5,-2.62896
226,-2.12839
226.5,-1.537
227,-0.977943
227.5,-0.55727
228,-0.33867
228.5,-0.328752
229,-0.476488
229.5,-0.686898
230,-0.845634
230.5,-0.84838
231,-0.627867
231.5,-0.171836
232,0.472472
232.5,1.20844
233,1.91234
233.5,2.46238
234,2.76739
234.5,2.78813
235,2.54615
235.5,2.11788
236,1.61555
236.5,1.15953
237,0.848947
237.5,0.737662
238,0.821604
238.5,1.04046
