Altium Designer Pick and Place Locations
C:\Users\EEVengers-Demo\Documents\Altium\Thunderscope_Rev4.1\Project Outputs for Thunderscope_Rev4.1\Pick Place\Pick Place for Thunderscope_Rev4.1(PCIe).txt

========================================================================================================================
File Design Information:

Date:       30-11-23
Time:       23:23
Revision:   Not in VersionControl
Variant:    PCIe
Units used: mil

Designator Comment                     Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                     
R49D       10K                         BottomLayer GEN_R_0402                     846.456       3405.512      270      ""                                                              
R47D       10K                         BottomLayer GEN_R_0402                     881.889       3405.512      270      ""                                                              
R35D       20k                         TopLayer    GEN_R_0402                     902.559       3620.078      180      ""                                                              
R33D       680K                        TopLayer    GEN_R_0402                     829.724       3620.079      0        ""                                                              
R32D       300K                        TopLayer    GEN_R_0402                     756.889       3620.079      0        ""                                                              
Q4D        DMN62D0UW                   BottomLayer GEN_SOT_323                    1117.126      3497.047      180      ""                                                              
Q3D        DMN62D0UW                   BottomLayer GEN_SOT_323                    866.141       3497.047      180      ""                                                              
K2D        FTR-B3SA4.5Z                TopLayer    FUJ_FTR-B3SA                   1113.976      3379.921      270      ""                                                              
K1D        FTR-B3SA4.5Z                TopLayer    FUJ_FTR-B3SA                   771.653       3379.921      270      ""                                                              
D3D        1N4148                      BottomLayer GEN_SOD_323                    1003.937      3534.449      0        ""                                                              
D2D        1N4148                      BottomLayer GEN_SOD_323                    752.952       3534.449      0        ""                                                              
C128D      100nF                       TopLayer    GEN_C_0402                     1309.055      3250.000      90       ""                                                              
C102D      2.2uF                       BottomLayer GEN_C_0402                     1468.504      3479.331      0        ""                                                              
C124D      100nF                       TopLayer    GEN_C_0402                     1633.858      3131.890      180      ""                                                              
C110D      100nF                       BottomLayer GEN_C_0402                     1563.976      3595.473      270      ""                                                              
C109D      100nF                       TopLayer    GEN_C_0402                     1468.504      3479.331      180      ""                                                              
C108D      100nF                       TopLayer    GEN_C_0402                     1468.504      3518.701      0        ""                                                              
C127D      100nF                       TopLayer    GEN_C_0402                     1544.291      3505.906      180      ""                                                              
C64D       100nF                       TopLayer    GEN_C_0402                     1472.441      3723.426      0        ""                                                              
C63D       100nF                       TopLayer    GEN_C_0402                     1384.842      3684.055      180      ""                                                              
C39D       100nF                       TopLayer    GEN_C_0402                     1626.969      3713.583      0        ""                                                              
C38D       2.2uF                       TopLayer    GEN_C_0402                     1384.842      3723.426      180      ""                                                              
C37D       100nF                       TopLayer    GEN_C_0402                     1570.866      3466.536      180      ""                                                              
C30D       100pF                       TopLayer    GEN_C_0402                     1645.669      3466.536      0        ""                                                              
C29D       100pF                       TopLayer    GEN_C_0402                     1403.543      3554.134      90       ""                                                              
C28D       100nF                       TopLayer    GEN_C_0402                     1626.969      3516.733      0        ""                                                              
C26D       22nF                        TopLayer    GEN_C_0603                     1353.347      3605.315      270      ""                                                              
C21D       5.1pF                       TopLayer    GEN_C_0603                     779.528       3676.181      180      ""                                                              
C20D       2pF                         TopLayer    GEN_C_0603                     1232.284      3629.921      0        ""                                                              
C101D      100nF                       TopLayer    GEN_C_0402                     1452.756      3120.079      180      ""                                                              
C22D       2pF                         TopLayer    GEN_C_0603                     631.890       3660.433      90       ""                                                              
C27D       22nF                        TopLayer    GEN_C_0603                     1395.669      3335.630      0        ""                                                              
Q5D        DMN62D0UW                   BottomLayer GEN_SOT_323                    1310.039      3196.850      0        ""                                                              
R126D      10K                         BottomLayer GEN_R_0402                     1310.039      3292.323      90       ""                                                              
U10D       TS12A4516                   TopLayer    GEN_SOT23_5_950_2900X1600X1450 1397.638      3223.425      270      ""                                                              
R43D       10                          TopLayer    GEN_R_0603                     690.945       3660.433      270      ""                                                              
R31D       10                          TopLayer    GEN_R_0603                     1114.173      3629.921      0        ""                                                              
R53D       30                          TopLayer    GEN_R_0603                     1348.425      3394.685      0        ""                                                              
U20        TPS7A2033                   TopLayer    GEN_SOT23_5_950_2900X1600X1450 1909.449      3179.134      270      ""                                                              
TP54       PCB                         BottomLayer GEN_TP_PCB                     1807.087      3342.520      0        ""                                                              
TP53       PCB                         BottomLayer GEN_TP_PCB                     1952.756      3082.677      0        ""                                                              
TP52       PCB                         BottomLayer GEN_TP_PCB                     1846.457      3181.102      0        ""                                                              
R117       0.1                         TopLayer    GEN_R_0402                     1855.315      3287.402      0        ""                                                              
C126       1uF                         TopLayer    GEN_C_0402                     1929.134      3070.866      0        ""                                                              
C125       1uF                         TopLayer    GEN_C_0402                     1929.134      3287.402      0        ""                                                              
R115       10K                         BottomLayer GEN_R_0402                     3915.354      2632.874      270      ""                                                              
C117       100nF                       TopLayer    GEN_C_0402                     3994.094      2566.929      270      ""                                                              
C118       39pF                        TopLayer    GEN_C_0402                     4053.149      2594.488      0        ""                                                              
C119       22uF                        TopLayer    GEN_C_0805                     3779.527      2476.378      270      ""                                                              
C120       22uF                        TopLayer    GEN_C_0805                     3854.330      2476.378      270      ""                                                              
C121       100nF                       TopLayer    GEN_C_0402                     3913.386      2458.662      90       ""                                                              
C122       22uF                        TopLayer    GEN_C_0805                     4084.646      2458.662      0        ""                                                              
C123       22uF                        TopLayer    GEN_C_0805                     4084.646      2533.465      0        ""                                                              
L3         4.7uH                       TopLayer    TY_IND_NRS5030                 4045.275      2309.055      0        ""                                                              
R113       57.6k                       TopLayer    GEN_R_0402                     4053.149      2633.858      0        ""                                                              
R114       10K                         TopLayer    GEN_R_0402                     3933.070      2594.488      0        ""                                                              
R116       0.01                        TopLayer    GEN_R_0603                     3779.527      2344.488      90       ""                                                              
TP50       5015                        BottomLayer KEY_5015                       3866.141      2311.024      90       ""                                                              
TP51       5015                        BottomLayer KEY_5015                       3866.141      2478.347      270      ""                                                              
U19        TPS562202                   TopLayer    TI_SOT563_DRL0006A             3974.409      2470.472      90       ""                                                              
C116       1uF                         TopLayer    GEN_C_0402                     3976.378      2880.905      90       ""                                                              
R111       1K                          BottomLayer GEN_R_0402                     3747.047      2902.559      180      ""                                                              
C115       1uF                         BottomLayer GEN_C_0402                     3384.843      2923.228      0        ""                                                              
C114       1uF                         TopLayer    GEN_C_0402                     3305.118      2877.953      180      ""                                                              
C113       1uF                         BottomLayer GEN_C_0402                     3512.795      2794.291      90       ""                                                              
C112       1uF                         TopLayer    GEN_C_0402                     3404.528      3132.874      0        ""                                                              
R110       10K                         TopLayer    GEN_R_0402                     3759.843      2169.291      270      ""                                                              
TP31       PCB                         BottomLayer GEN_TP_PCB                     3709.646      1241.142      90       ""                                                              
TP47       5015                        BottomLayer KEY_5015                       3863.189      1638.780      0        ""                                                              
TP32       5015                        BottomLayer KEY_5015                       3868.110      1272.638      180      ""                                                              
D7         TPD1E1B04                   TopLayer    TI_X1SON_DPY0002A              4083.662      3532.480      0        ""                                                              
D6         TPD1E1B04                   TopLayer    TI_X1SON_DPY0002A              3955.709      3532.480      180      ""                                                              
TP33       PCB                         BottomLayer GEN_TP_PCB                     4006.890      1437.992      180      ""                                                              
TP7        PCB                         BottomLayer GEN_TP_PCB                     3866.142      3486.220      90       ""                                                              
TP9        PCB                         BottomLayer GEN_TP_PCB                     3331.693      3603.347      180      ""                                                              
R109       0                           TopLayer    GEN_R_0402                     3779.528      2106.299      180      ""                                                              
R107       0                           TopLayer    GEN_R_0402                     3786.417      2786.417      180      ""                                                              
J11        "1.27mm 6 Pin TH"           TopLayer    GEN_1.27mm_2x5_Pin_TH_RA       4019.882      3629.921      0        ""                                                              
U17        MCP4432T-503E               TopLayer    MC_TSSOP14                     2374.016      3559.055      270      ""                                                              
C107       100nF                       TopLayer    GEN_C_0402                     2386.811      3383.858      0        ""                                                              
TP16       PCB                         BottomLayer GEN_TP_PCB                     2933.071      3025.591      270      ""                                                              
R119D      1K                          BottomLayer GEN_R_0402                     1733.268      3607.284      270      ""                                                              
R119C      1K                          BottomLayer GEN_R_0402                     1733.268      2800.197      270      ""                                                              
R119B      1K                          BottomLayer GEN_R_0402                     1733.268      1993.110      270      ""                                                              
R119A      1K                          BottomLayer GEN_R_0402                     1733.268      1186.024      270      ""                                                              
R118D      1K                          BottomLayer GEN_R_0402                     1695.866      3607.284      90       ""                                                              
R118C      1K                          BottomLayer GEN_R_0402                     1695.866      2800.197      90       ""                                                              
R118B      1K                          BottomLayer GEN_R_0402                     1695.866      1993.110      90       ""                                                              
R118A      1K                          BottomLayer GEN_R_0402                     1695.866      1186.024      90       ""                                                              
TP29       PCB                         BottomLayer GEN_TP_PCB                     2732.284      3014.764      180      ""                                                              
TP34       PCB                         BottomLayer GEN_TP_PCB                     2898.622      2935.039      270      ""                                                              
TP35       PCB                         BottomLayer GEN_TP_PCB                     2771.653      2937.008      270      ""                                                              
C31C       100nF                       BottomLayer GEN_C_0402                     1733.268      2726.378      270      ""                                                              
C31B       100nF                       BottomLayer GEN_C_0402                     1733.268      1919.291      270      ""                                                              
C31A       100nF                       BottomLayer GEN_C_0402                     1733.268      1112.205      270      ""                                                              
C32A       1nF                         TopLayer    GEN_C_0402                     1808.071      1262.795      0        ""                                                              
C32B       1nF                         TopLayer    GEN_C_0402                     1808.071      2069.882      0        ""                                                              
C32C       1nF                         TopLayer    GEN_C_0402                     1808.071      2876.968      0        ""                                                              
C33A       10nF                        TopLayer    GEN_C_0402                     1882.874      1262.795      180      ""                                                              
C33B       10nF                        TopLayer    GEN_C_0402                     1882.874      2069.882      180      ""                                                              
C33C       10nF                        TopLayer    GEN_C_0402                     1882.874      2876.968      180      ""                                                              
C35A       1uF                         TopLayer    GEN_C_0402                     1882.874      1302.165      180      ""                                                              
C35B       1uF                         TopLayer    GEN_C_0402                     1882.874      2109.252      180      ""                                                              
C35C       1uF                         TopLayer    GEN_C_0402                     1882.874      2916.339      180      ""                                                              
C36A       100nF                       TopLayer    GEN_C_0402                     1925.197      1018.701      180      ""                                                              
C36B       100nF                       TopLayer    GEN_C_0402                     1925.197      1825.787      180      ""                                                              
C36C       100nF                       TopLayer    GEN_C_0402                     1925.197      2632.874      180      ""                                                              
R51A       10K                         TopLayer    GEN_R_0402                     1851.378      1005.905      0        ""                                                              
R51B       10K                         TopLayer    GEN_R_0402                     1851.378      1812.992      0        ""                                                              
R51C       10K                         TopLayer    GEN_R_0402                     1851.378      2620.079      0        ""                                                              
SHLD3A     2118728-2                   TopLayer    TE_2118728-2                   1142.965      1006.008      180      ""                                                              
SHLD3B     2118728-2                   TopLayer    TE_2118728-2                   1142.965      1813.095      180      ""                                                              
SHLD3C     2118728-2                   TopLayer    TE_2118728-2                   1142.965      2620.181      180      ""                                                              
TP25A      PCB                         BottomLayer GEN_TP_PCB                     1791.339      1154.528      90       ""                                                              
TP25C      PCB                         BottomLayer GEN_TP_PCB                     1791.339      2768.701      90       ""                                                              
TP24A      PCB                         BottomLayer GEN_TP_PCB                     1790.354      1034.449      90       ""                                                              
TP24B      PCB                         BottomLayer GEN_TP_PCB                     1790.354      1841.535      90       ""                                                              
TP24C      PCB                         BottomLayer GEN_TP_PCB                     1790.354      2648.622      90       ""                                                              
U7A        LMH6518                     TopLayer    TI_WQFN_RGH0016A               1865.157      1140.748      270      ""                                                              
U7B        LMH6518                     TopLayer    TI_WQFN_RGH0016A               1865.157      1947.834      270      ""                                                              
U7C        LMH6518                     TopLayer    TI_WQFN_RGH0016A               1865.157      2754.921      270      ""                                                              
U16        TPS7A2025                   TopLayer    GEN_SOT23_5_950_2900X1600X1450 3818.898      1133.858      90       ""                                                              
TP30       PCB                         BottomLayer GEN_TP_PCB                     3779.528      1027.559      90       ""                                                              
TP14       PCB                         BottomLayer GEN_TP_PCB                     3779.528      952.756       90       ""                                                              
TP2        PCB                         BottomLayer GEN_TP_PCB                     3368.110      1496.063      90       ""                                                              
R104       0.1                         TopLayer    GEN_R_0402                     3779.528      964.567       90       ""                                                              
R103       10K                         TopLayer    GEN_R_0402                     3759.843      2000.000      90       ""                                                              
R102       10K                         BottomLayer GEN_R_0402                     3350.394      1393.701      180      ""                                                              
R101       10K                         BottomLayer GEN_R_0402                     3350.394      1437.008      180      ""                                                              
R66        10K                         BottomLayer GEN_R_0402                     2255.905      1259.842      270      ""                                                              
C106       1uF                         TopLayer    GEN_C_0402                     3799.213      1240.158      180      ""                                                              
C105       1uF                         TopLayer    GEN_C_0402                     3799.213      1027.559      180      ""                                                              
C31D       100nF                       BottomLayer GEN_C_0402                     1733.268      3533.465      270      ""                                                              
C100       100nF                       TopLayer    GEN_C_0402                     2969.488      3356.299      180      ""                                                              
C32D       1nF                         TopLayer    GEN_C_0402                     1808.071      3684.055      0        ""                                                              
C33D       10nF                        TopLayer    GEN_C_0402                     1882.874      3684.055      180      ""                                                              
C35D       1uF                         TopLayer    GEN_C_0402                     1882.874      3723.425      180      ""                                                              
C36D       100nF                       TopLayer    GEN_C_0402                     1925.197      3439.961      180      ""                                                              
C40        100nF                       BottomLayer GEN_C_0201                     2892.717      887.795       90       ""                                                              
C41        1uF                         TopLayer    GEN_C_0402                     3218.787      3082.677      180      ""                                                              
C42        1uF                         TopLayer    GEN_C_0402                     2752.252      3014.827      270      ""                                                              
C43        10nF                        TopLayer    GEN_C_0402                     3218.787      3043.307      180      ""                                                              
C44        10nF                        TopLayer    GEN_C_0402                     2791.622      3014.827      270      ""                                                              
C45        1nF                         TopLayer    GEN_C_0402                     3218.787      3003.937      180      ""                                                              
C46        1nF                         TopLayer    GEN_C_0402                     2830.992      3014.827      270      ""                                                              
C47        10nF                        TopLayer    GEN_C_0402                     2831.693      2846.457      90       ""                                                              
C48        10nF                        TopLayer    GEN_C_0402                     3218.787      2840.551      180      ""                                                              
C49        1uF                         BottomLayer GEN_C_0402                     3132.874      2825.787      0        ""                                                              
C50        1uF                         TopLayer    GEN_C_0402                     2792.323      2846.457      90       ""                                                              
C51        39pF                        TopLayer    GEN_C_0402                     2518.701      2888.780      90       ""                                                              
C52        10uF                        TopLayer    GEN_C_0603                     2468.504      2735.236      180      ""                                                              
C53        22uF                        TopLayer    GEN_C_0805                     2459.646      2920.276      90       ""                                                              
C54        1uF                         BottomLayer GEN_C_0402                     3132.874      2904.528      0        ""                                                              
C55        10nF                        BottomLayer GEN_C_0402                     3132.874      2865.157      0        ""                                                              
C56        1nF                         TopLayer    GEN_C_0402                     3218.787      2885.827      180      ""                                                              
C57        10nF                        BottomLayer GEN_C_0402                     3132.874      2945.866      0        ""                                                              
C58        1uF                         BottomLayer GEN_C_0402                     3132.874      2987.205      0        ""                                                              
C59        100nF                       TopLayer    GEN_C_0402                     2615.155      2904.528      180      ""                                                              
C60        10uF                        TopLayer    GEN_C_0603                     2627.953      2760.827      180      ""                                                              
C61        2.2uF                       TopLayer    GEN_C_0402                     2674.213      2868.110      90       ""                                                              
C62        100nF                       BottomLayer GEN_C_0201                     3144.685      887.795       90       ""                                                              
C66        100nF                       BottomLayer GEN_C_0201                     3081.693      887.795       90       ""                                                              
C67        100nF                       BottomLayer GEN_C_0201                     3050.197      887.795       90       ""                                                              
C70        100nF                       BottomLayer GEN_C_0201                     3018.701      887.795       90       ""                                                              
C71        100nF                       BottomLayer GEN_C_0201                     2987.205      887.795       90       ""                                                              
C74        100nF                       BottomLayer GEN_C_0201                     2955.709      887.795       90       ""                                                              
C75        100nF                       BottomLayer GEN_C_0201                     2924.213      887.795       90       ""                                                              
C79        100nF                       BottomLayer GEN_C_0201                     2861.220      887.795       90       ""                                                              
C82        1uF                         BottomLayer GEN_C_0402                     3384.843      2962.598      0        ""                                                              
C83        1uF                         BottomLayer GEN_C_0402                     3453.740      3071.850      270      ""                                                              
C84        1uF                         BottomLayer GEN_C_0402                     3552.165      3072.834      270      ""                                                              
C85        1uF                         BottomLayer GEN_C_0402                     3630.905      3072.834      270      ""                                                              
C86        1uF                         TopLayer    GEN_C_0402                     3650.590      2727.362      0        ""                                                              
C87        1uF                         BottomLayer GEN_C_0402                     3556.102      2794.291      90       ""                                                              
C88        1uF                         BottomLayer GEN_C_0402                     3591.535      3072.834      270      ""                                                              
C89        1uF                         BottomLayer GEN_C_0402                     3453.740      2794.291      90       ""                                                              
C90        1uF                         BottomLayer GEN_C_0402                     3414.370      2794.291      90       ""                                                              
C91        22uF                        TopLayer    GEN_C_0805                     3830.709      1375.984      0        ""                                                              
C92        1uF                         TopLayer    GEN_C_0402                     3845.472      1549.213      0        ""                                                              
C93        1uF                         BottomLayer GEN_C_0402                     3595.472      2794.291      90       ""                                                              
C94        1uF                         BottomLayer GEN_C_0402                     3661.417      2844.488      180      ""                                                              
C95        1uF                         TopLayer    GEN_C_0402                     3305.118      3062.008      180      ""                                                              
C96        0                           TopLayer    GEN_R_0402                     3730.315      2767.716      270      ""                                                              
C97        0                           TopLayer    GEN_R_0402                     3748.032      2824.803      0        ""                                                              
C98        100nF                       TopLayer    GEN_C_0402                     3748.032      2864.173      0        ""                                                              
C99        100nF                       TopLayer    GEN_C_0402                     3748.032      2903.543      0        ""                                                              
D1         GREEN                       TopLayer    LED_0603_LTST-S270K            35.433        1958.661      90       ""                                                              
FB3        120@100MHZ                  BottomLayer GEN_R_0402                     3366.142      2827.756      90       ""                                                              
FB5        120@100MHZ                  TopLayer    GEN_R_0402                     3330.709      3132.874      0        ""                                                              
J2A        BNC                         TopLayer    MOL_0731000105                 337.598       680.118       90       ""                                                              
J2B        BNC                         TopLayer    MOL_0731000105                 337.598       1532.480      90       ""                                                              
J2C        BNC                         TopLayer    MOL_0731000105                 337.598       2384.842      90       ""                                                              
J2D        BNC                         TopLayer    MOL_0731000105                 337.598       3237.204      90       ""                                                              
J8         "2.54mm 6 Pin TH"           TopLayer    GEN_2.54mm_6_Pin_TH_RA         4287.402      1948.819      270      ""                                                              
JM1        LSHM-150-02.5-L-DV-A-S-K-TR TopLayer    SAM_LSHM-150-XX.X-XX-DV-A-S    3532.165      1634.671      270      ""                                                              
JM2        LSHM-150-02.5-L-DV-A-S-K-TR TopLayer    SAM_LSHM-150-XX.X-XX-DV-A-S    2272.323      1634.671      270      ""                                                              
JM3        LSHM-130-02.5-L-DV-A-S-K-TR TopLayer    SAM_LSHM-130-XX.X-XX-DV-A-S    2902.283      807.939       0        ""                                                              
L2         1uH                         TopLayer    GEN_L_1210                     2354.331      2863.189      90       ""                                                              
MH1        M3                          TopLayer    MH_M3                          2232.965      768.530       0        ""                                                              
MH2        M3                          TopLayer    MH_M3                          3571.548      768.530       0        ""                                                              
MH3        M3                          TopLayer    MH_M3                          3571.548      2500.813      0        ""                                                              
MH4        M3                          TopLayer    MH_M3                          2232.965      2500.813      0        ""                                                              
P1         PCIeX4-GF-2D-1000-1K-O64    TopLayer    PCIeX4-GF-2D-1000-1K-O64       2446.850      226.378       0        "Golden finger, PCIeX4, Dual, Opposite, Pitch 1mm, 64-Position" 
Q1         DMN62D0UW                   BottomLayer GEN_SOT_323                    2565.945      3616.142      270      ""                                                              
Q2         DMN62D0UW                   BottomLayer GEN_SOT_323                    2565.945      3507.874      270      ""                                                              
R16        10K                         TopLayer    GEN_R_0402                     2818.898      3726.378      0        ""                                                              
R20        10K                         BottomLayer GEN_R_0402                     2645.669      3625.985      90       ""                                                              
R21        10K                         BottomLayer GEN_R_0402                     2645.669      3513.780      90       ""                                                              
R22        10K                         BottomLayer GEN_R_0402                     2489.173      3633.858      90       ""                                                              
R23        10K                         BottomLayer GEN_R_0402                     2489.173      3490.157      270      ""                                                              
R51D       10K                         TopLayer    GEN_R_0402                     1851.378      3427.165      0        ""                                                              
R52A       0                           TopLayer    GEN_R_0402                     2013.780      1157.480      0        ""                                                              
R52B       0                           TopLayer    GEN_R_0402                     2013.780      1964.567      0        ""                                                              
R52C       0                           TopLayer    GEN_R_0402                     2013.780      2771.653      0        ""                                                              
R52D       0                           TopLayer    GEN_R_0402                     2013.780      3578.740      0        ""                                                              
R36        0.01                        TopLayer    GEN_R_0603                     2347.441      2735.236      0        ""                                                              
R37        220K                        TopLayer    GEN_R_0402                     2558.071      2886.811      90       ""                                                              
R38        10K                         TopLayer    GEN_R_0402                     3964.567      1481.299      270      ""                                                              
R39        100k                        TopLayer    GEN_R_0402                     2551.181      2813.976      90       ""                                                              
R97A       0                           TopLayer    GEN_R_0402                     2013.780      1122.047      0        ""                                                              
R97B       0                           TopLayer    GEN_R_0402                     2013.780      1929.134      0        ""                                                              
R97C       0                           TopLayer    GEN_R_0402                     2013.780      2736.220      0        ""                                                              
R97D       0                           TopLayer    GEN_R_0402                     2013.780      3543.307      0        ""                                                              
R42        10K                         TopLayer    GEN_R_0402                     2691.929      2923.228      180      ""                                                              
R44        10K                         BottomLayer GEN_R_0402                     2691.929      2923.228      180      ""                                                              
R46        10K                         BottomLayer GEN_R_0402                     2831.693      2846.457      270      ""                                                              
R57        100                         TopLayer    GEN_R_0402                     2916.065      3053.149      180      ""                                                              
R58        0.01                        TopLayer    GEN_R_0603                     2558.071      2957.677      0        ""                                                              
R59        261K                        TopLayer    GEN_R_0402                     2604.329      2810.039      180      ""                                                              
R60        100                         TopLayer    GEN_R_0402                     2986.931      3053.149      180      ""                                                              
R61        100k                        TopLayer    GEN_R_0402                     2675.197      2810.039      180      ""                                                              
R62        100                         TopLayer    GEN_R_0402                     3057.797      3053.149      180      ""                                                              
R63        100                         TopLayer    GEN_R_0402                     3128.663      3053.149      180      ""                                                              
R64        100                         TopLayer    GEN_R_0402                     3199.102      2944.882      90       ""                                                              
C103       0                           TopLayer    GEN_R_0402                     3254.921      2964.567      0        ""                                                              
C104       0                           TopLayer    GEN_R_0402                     3254.921      2925.197      0        ""                                                              
R67        1K                          TopLayer    GEN_R_0402                     86.614        1958.661      270      ""                                                              
R68        0                           TopLayer    GEN_R_0201                     3132.874      654.528       270      ""                                                              
R69        0                           TopLayer    GEN_R_0201                     3105.315      654.528       270      ""                                                              
R72        0                           TopLayer    GEN_R_0201                     3073.819      654.528       270      ""                                                              
R73        0                           TopLayer    GEN_R_0201                     3046.260      654.528       270      ""                                                              
R76        0                           TopLayer    GEN_R_0201                     3014.764      654.528       270      ""                                                              
R77        0                           TopLayer    GEN_R_0201                     2987.205      654.528       270      ""                                                              
R80        0                           TopLayer    GEN_R_0201                     2955.709      654.528       270      ""                                                              
R81        0                           TopLayer    GEN_R_0201                     2928.150      654.528       270      ""                                                              
R84        49.9                        BottomLayer GEN_R_0402                     2426.181      937.992       270      ""                                                              
R86        0                           BottomLayer GEN_R_0402                     2443.898      610.236       0        ""                                                              
R87        0.01                        BottomLayer GEN_R_0603                     1997.047      525.591       180      ""                                                              
R88        0                           TopLayer    GEN_R_0402                     3562.008      2728.347      0        ""                                                              
R89        10K                         TopLayer    GEN_R_0402                     3618.110      3170.275      270      ""                                                              
R90        10K                         TopLayer    GEN_R_0402                     3748.032      2979.331      0        ""                                                              
R91        10K                         TopLayer    GEN_R_0402                     3748.032      3016.732      0        ""                                                              
R92        1K                          TopLayer    GEN_R_0402                     3748.031      3129.921      180      ""                                                              
R93        1K                          BottomLayer GEN_R_0402                     3747.047      2939.961      180      ""                                                              
R94        1K                          TopLayer    GEN_R_0402                     3748.031      2941.929      180      ""                                                              
SHLD3D     2118728-2                   TopLayer    TE_2118728-2                   1142.965      3427.268      180      ""                                                              
TP5        5019                        BottomLayer KEY_5019                       4507.874      708.661       0        ""                                                              
TP6        5019                        BottomLayer KEY_5019                       4070.866      3027.559      180      ""                                                              
TP10       PCB                         BottomLayer GEN_TP_PCB                     3423.228      3397.638      90       ""                                                              
TP11       PCB                         BottomLayer GEN_TP_PCB                     3204.724      3628.937      180      ""                                                              
TP12       PCB                         BottomLayer GEN_TP_PCB                     3205.709      3478.347      180      ""                                                              
TP13       PCB                         BottomLayer GEN_TP_PCB                     3331.693      3699.803      270      ""                                                              
TP15       PCB                         BottomLayer GEN_TP_PCB                     3205.709      3397.638      180      ""                                                              
TP19       PCB                         BottomLayer GEN_TP_PCB                     3014.764      3659.449      0        ""                                                              
TP20       PCB                         BottomLayer GEN_TP_PCB                     2540.354      3417.323      90       ""                                                              
TP21       PCB                         BottomLayer GEN_TP_PCB                     2540.354      3702.756      270      ""                                                              
TP25D      PCB                         BottomLayer GEN_TP_PCB                     1791.339      3575.787      90       ""                                                              
TP24D      PCB                         BottomLayer GEN_TP_PCB                     1790.354      3455.709      90       ""                                                              
TP27       PCB                         BottomLayer GEN_TP_PCB                     2439.961      2735.236      0        ""                                                              
TP28       PCB                         BottomLayer GEN_TP_PCB                     2315.945      2735.236      90       ""                                                              
TP36       PCB                         BottomLayer GEN_TP_PCB                     2589.567      2957.677      90       ""                                                              
TP37       PCB                         BottomLayer GEN_TP_PCB                     2601.378      2693.898      90       ""                                                              
TP38       PCB                         BottomLayer GEN_TP_PCB                     2459.646      2957.677      90       ""                                                              
TP39       PCB                         BottomLayer GEN_TP_PCB                     2361.220      955.709       90       ""                                                              
TP40       5015                        BottomLayer KEY_5015                       2113.189      525.591       90       ""                                                              
TP41       5015                        BottomLayer KEY_5015                       1882.874      524.606       270      ""                                                              
TP42       PCB                         BottomLayer GEN_TP_PCB                     2699.803      3608.268      270      ""                                                              
TP44       PCB                         BottomLayer GEN_TP_PCB                     3628.937      3218.504      180      ""                                                              
U3         ADM7171ACPZ-5.0             TopLayer    AD_DFN8_CP-8-21                3430.118      3513.779      90       ""                                                              
U4         LM27761                     TopLayer    TI_WSON8_DSG0008A              3229.942      3550.217      0        ""                                                              
U5         OP07CDR                     TopLayer    TI_SOIC8_D0008A                2990.355      3559.055      90       ""                                                              
U6         MCP4728                     TopLayer    MC_MSOP10_UN                   2562.008      3529.528      90       ""                                                              
U7D        LMH6518                     TopLayer    TI_WQFN_RGH0016A               1865.157      3562.008      270      ""                                                              
U11        TPS62A01                    TopLayer    TI_SOT563_DRL0006A             2470.472      2807.086      0        ""                                                              
U12        HMCAD1511                   TopLayer    AD_QFN48_LP7                   3011.537      2866.142      0        ""                                                              
U13        LD57100JR                   TopLayer    ST_FlipChip6                   2615.157      2856.299      90       ""                                                              
U14        TPS22975                    TopLayer    TI_WSON8_DSG0008A              3889.764      1471.457      90       ""                                                              
U15        ZL30260LDG1                 TopLayer    MC_QFN56_ZL30260               3522.638      2933.071      90       ""                                                              
Y1         10MHz                       TopLayer    ECS_TXO-3225                   3873.032      2880.906      180      ""                                                              
C15        100nF                       BottomLayer GEN_C_0201                     3113.189      887.795       90       ""                                                              
U1         SN74LVC1G17                 BottomLayer GEN_SC-70-5                    406.496       3631.890      90       ""                                                              
R2         10K                         BottomLayer GEN_R_0402                     388.779       3539.370      0        ""                                                              
R1         0                           BottomLayer GEN_R_0402                     363.189       3724.409      0        ""                                                              
C1         100nF                       BottomLayer GEN_C_0402                     483.268       3659.449      270      ""                                                              
C14        100nF                       TopLayer    GEN_C_0402                     3048.425      3392.718      0        ""                                                              
C12        100nF                       TopLayer    GEN_C_0402                     2947.048      3726.379      180      ""                                                              
J1         TSW-101-08-F-D-RA           TopLayer    GEN_2.54mm_1x2_Pin_TH_RA       210.630       3726.378      0        ""                                                              
R14        10K                         TopLayer    GEN_R_0402                     2970.472      3394.685      0        ""                                                              
R13        100k                        TopLayer    GEN_R_0402                     3279.155      3424.233      0        ""                                                              
R11        300K                        TopLayer    GEN_R_0402                     3279.155      3386.832      180      ""                                                              
R9         0.1                         TopLayer    GEN_R_0402                     3187.992      3423.229      180      ""                                                              
R8         0.1                         TopLayer    GEN_R_0402                     3205.709      3696.851      270      ""                                                              
R7         0.01                        TopLayer    GEN_R_0603                     3429.331      3693.899      180      ""                                                              
FB2        120@100MHZ                  TopLayer    GEN_R_0402                     2679.134      3014.764      270      ""                                                              
FB1        120@100MHZ                  TopLayer    GEN_R_0402                     2714.567      3014.764      270      ""                                                              
C13        100nF                       TopLayer    GEN_C_0402                     2541.338      3383.858      180      ""                                                              
C11        10uF                        TopLayer    GEN_C_0603                     3145.296      3550.217      270      ""                                                              
