### Footprint positions - created on 2026-01-22T12:56:30-0500 ###
### Printed by KiCad version 9.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref       Val                       Package                                          PosX       PosY       Rot  Side
C162        10uF                      GEN_C_0603                                    75.3100    39.8500  -90.0000  bottom
C163        10uF                      GEN_C_0603                                    77.5500    40.6000    0.0000  bottom
C164        1uF                       GEN_C_0402                                    86.4000    42.6250  -90.0000  bottom
C165        1uF                       GEN_C_0402                                    81.9500    41.5000  180.0000  bottom
C166        1uF                       GEN_C_0402                                    84.4750    43.7750  180.0000  bottom
C167        1uF                       GEN_C_0402                                    84.6250    40.5500    0.0000  bottom
C168        10uF                      GEN_C_0603                                    74.8250    33.2500   90.0000  bottom
C169        100nF                     GEN_C_0402                                    77.7000    33.0375  -90.0000  bottom
C170        100nF                     GEN_C_0402                                    79.2750    33.0375  -90.0000  bottom
C171        100nF                     GEN_C_0402                                    80.6500    37.0375  -90.0000  bottom
C172        100nF                     GEN_C_0402                                    78.3500    37.0375  -90.0000  bottom
C173        10uF                      GEN_C_0603                                    75.9750    36.3250  -90.0000  bottom
C174        100pF                     GEN_C_0402                                    93.7500    35.4250  180.0000  bottom
C189        100nF                     GEN_C_0402                                    80.8750    33.0375   90.0000  bottom
C190        100nF                     GEN_C_0402                                    76.0750    33.8000   90.0000  bottom
C191        1uF                       GEN_C_0402                                    78.7850    42.2250  180.0000  bottom
C1003_1     10uF                      GEN_C_0603                                    37.7250    90.0750   90.0000  bottom
C1003_2     10uF                      GEN_C_0603                                    37.7250    69.5750   90.0000  bottom
C1003_3     10uF                      GEN_C_0603                                    37.7250    49.0750   90.0000  bottom
C1003_4     10uF                      GEN_C_0603                                    37.7250    28.5750   90.0000  bottom
C1004_1     10uF                      GEN_C_0603                                    41.7000    81.5250  180.0000  bottom
C1004_2     10uF                      GEN_C_0603                                    41.7000    61.0250  180.0000  bottom
C1004_3     10uF                      GEN_C_0603                                    41.7000    40.5250  180.0000  bottom
C1004_4     10uF                      GEN_C_0603                                    41.7000    20.0250  180.0000  bottom
C1005_1     10uF                      GEN_C_0603                                    41.5000    91.4250  -90.0000  bottom
C1005_2     10uF                      GEN_C_0603                                    41.5000    70.9250  -90.0000  bottom
C1005_3     10uF                      GEN_C_0603                                    41.5000    50.4250  -90.0000  bottom
C1005_4     10uF                      GEN_C_0603                                    41.5000    29.9250  -90.0000  bottom
C1006_1     10uF                      GEN_C_0603                                    40.4250    93.7500    0.0000  bottom
C1006_2     10uF                      GEN_C_0603                                    40.4250    73.2500    0.0000  bottom
C1006_3     10uF                      GEN_C_0603                                    40.4250    52.7500    0.0000  bottom
C1006_4     10uF                      GEN_C_0603                                    40.4250    32.2500    0.0000  bottom
C1007_1     10uF                      GEN_C_0603                                    37.3250    80.8500   90.0000  bottom
C1007_2     10uF                      GEN_C_0603                                    37.3250    60.3500   90.0000  bottom
C1007_3     10uF                      GEN_C_0603                                    37.3250    39.8500   90.0000  bottom
C1007_4     10uF                      GEN_C_0603                                    37.3250    19.3500   90.0000  bottom
C1008_1     10uF                      GEN_C_0603                                    36.7500    93.7500  180.0000  bottom
C1008_2     10uF                      GEN_C_0603                                    36.7500    73.2500  180.0000  bottom
C1008_3     10uF                      GEN_C_0603                                    36.7500    52.7500  180.0000  bottom
C1008_4     10uF                      GEN_C_0603                                    36.7500    32.2500  180.0000  bottom
C1009_1     1uF                       GEN_C_0402                                    14.8725    90.9900  180.0000  bottom
C1009_2     1uF                       GEN_C_0402                                    14.8725    70.4900  180.0000  bottom
C1009_3     1uF                       GEN_C_0402                                    14.8725    49.9900  180.0000  bottom
C1009_4     1uF                       GEN_C_0402                                    14.8725    29.4900  180.0000  bottom
C1010_1     1uF                       GEN_C_0402                                    23.5400    89.1300   90.0000  bottom
C1010_2     1uF                       GEN_C_0402                                    23.5400    68.6300   90.0000  bottom
C1010_3     1uF                       GEN_C_0402                                    23.5400    48.1300   90.0000  bottom
C1010_4     1uF                       GEN_C_0402                                    23.5400    27.6300   90.0000  bottom
C1026_1     22uF                      GEN_C_0805                                    17.9200    87.4200  180.0000  bottom
C1026_2     22uF                      GEN_C_0805                                    17.9200    66.9200  180.0000  bottom
C1026_3     22uF                      GEN_C_0805                                    17.9200    46.4200  180.0000  bottom
C1026_4     22uF                      GEN_C_0805                                    17.9200    25.9200  180.0000  bottom
C1027_1     22uF                      GEN_C_0805                                    17.9200    89.3200  180.0000  bottom
C1027_2     22uF                      GEN_C_0805                                    17.9200    68.8200  180.0000  bottom
C1027_3     22uF                      GEN_C_0805                                    17.9200    48.3200  180.0000  bottom
C1027_4     22uF                      GEN_C_0805                                    17.9200    27.8200  180.0000  bottom
C1028_1     22uF                      GEN_C_0805                                    27.7800    86.1500   90.0000  bottom
C1028_2     22uF                      GEN_C_0805                                    27.7800    65.6500   90.0000  bottom
C1028_3     22uF                      GEN_C_0805                                    27.7800    45.1500   90.0000  bottom
C1028_4     22uF                      GEN_C_0805                                    27.7800    24.6500   90.0000  bottom
C1029_1     22uF                      GEN_C_0805                                    25.0000    85.3000  180.0000  bottom
C1029_2     22uF                      GEN_C_0805                                    25.0000    64.8000  180.0000  bottom
C1029_3     22uF                      GEN_C_0805                                    25.0000    44.3000  180.0000  bottom
C1029_4     22uF                      GEN_C_0805                                    25.0000    23.8000  180.0000  bottom
C1033_1     100nF                     GEN_C_0402                                    45.5000    92.4000   90.0000  bottom
C1033_2     100nF                     GEN_C_0402                                    45.5000    71.9000   90.0000  bottom
C1033_3     100nF                     GEN_C_0402                                    45.5000    51.4000   90.0000  bottom
C1033_4     100nF                     GEN_C_0402                                    45.5000    30.9000   90.0000  bottom
C1041_1     100nF                     GEN_C_0402                                    43.5750    89.1000  180.0000  bottom
C1041_2     100nF                     GEN_C_0402                                    43.5750    68.6000  180.0000  bottom
C1041_3     100nF                     GEN_C_0402                                    43.5750    48.1000  180.0000  bottom
C1041_4     100nF                     GEN_C_0402                                    43.5750    27.6000  180.0000  bottom
C1042_1     100nF                     GEN_C_0402                                    44.0250    90.5500   90.0000  bottom
C1042_2     100nF                     GEN_C_0402                                    44.0250    70.0500   90.0000  bottom
C1042_3     100nF                     GEN_C_0402                                    44.0250    49.5500   90.0000  bottom
C1042_4     100nF                     GEN_C_0402                                    44.0250    29.0500   90.0000  bottom
C1054_1     1uF                       GEN_C_0402                                    39.9500    91.7500   90.0000  bottom
C1054_2     1uF                       GEN_C_0402                                    39.9500    71.2500   90.0000  bottom
C1054_3     1uF                       GEN_C_0402                                    39.9500    50.7500   90.0000  bottom
C1054_4     1uF                       GEN_C_0402                                    39.9500    30.2500   90.0000  bottom
C1057_1     1uF                       GEN_C_0402                                    38.2000    87.7750    0.0000  bottom
C1057_2     1uF                       GEN_C_0402                                    38.2000    67.2750    0.0000  bottom
C1057_3     1uF                       GEN_C_0402                                    38.2000    46.7750    0.0000  bottom
C1057_4     1uF                       GEN_C_0402                                    38.2000    26.2750    0.0000  bottom
D4          TPD1E1B04                 TI_X1SON_DPY0002A                            101.5000    94.0000  180.0000  bottom
D5          TPD1E1B04                 TI_X1SON_DPY0002A                            104.7000    94.0000    0.0000  bottom
D1000_1     1N4148WT-7                GEN_SOD_523                                   17.9200    90.9900    0.0000  bottom
D1000_2     1N4148WT-7                GEN_SOD_523                                   17.9200    70.4900    0.0000  bottom
D1000_3     1N4148WT-7                GEN_SOD_523                                   17.9200    49.9900    0.0000  bottom
D1000_4     1N4148WT-7                GEN_SOD_523                                   17.9200    29.4900    0.0000  bottom
D1001_1     1N4148WT-7                GEN_SOD_523                                   27.7800    88.6600    0.0000  bottom
D1001_2     1N4148WT-7                GEN_SOD_523                                   27.7800    68.1600    0.0000  bottom
D1001_3     1N4148WT-7                GEN_SOD_523                                   27.7800    47.6600    0.0000  bottom
D1001_4     1N4148WT-7                GEN_SOD_523                                   27.7800    27.1600    0.0000  bottom
FB1         120@100MHZ                GEN_R_0402                                    70.2750    60.4250  -90.0000  bottom
FB2         120@100MHZ                GEN_R_0402                                    70.2750    63.2000   90.0000  bottom
FB3         120@100MHZ                GEN_R_0402                                    85.1500    60.5250  -90.0000  bottom
FB11        120@100MHZ                GEN_R_0402                                    84.3300    39.0300  180.0000  bottom
FB12        120@100MHZ                GEN_R_0402                                    82.7500    40.5250    0.0000  bottom
FB13        120@100MHZ                GEN_R_0402                                    82.0750    36.5750    0.0000  bottom
FB1001_1    120@100MHZ                GEN_R_0402                                    43.0500    90.5750   90.0000  bottom
FB1001_2    120@100MHZ                GEN_R_0402                                    43.0500    70.0750   90.0000  bottom
FB1001_3    120@100MHZ                GEN_R_0402                                    43.0500    49.5750   90.0000  bottom
FB1001_4    120@100MHZ                GEN_R_0402                                    43.0500    29.0750   90.0000  bottom
Q1          DMN62D0UW                 GEN_SOT_323                                   69.9250    92.9250  -90.0000  bottom
Q2          DMN62D0UW                 GEN_SOT_323                                   69.9250    90.1750  -90.0000  bottom
Q3          DMN62D0UW                 GEN_SOT_323                                   57.9500    13.2000    0.0000  bottom
Q1002_1     DMN62D0UW                 GEN_SOT_323                                   21.3000    90.1250  180.0000  bottom
Q1002_2     DMN62D0UW                 GEN_SOT_323                                   21.3000    69.6250  180.0000  bottom
Q1002_3     DMN62D0UW                 GEN_SOT_323                                   21.3000    49.1250  180.0000  bottom
